,fold0,fold1,fold2,fold3,fold4,fold5,mean_gain
q1_w4,53.47310924530029,455.78760063648224,297.0772223472595,129.41909790039062,270.36140060424805,251.24856185913086,242.8944987654686
r16_w4,48.661059856414795,206.41656947135925,111.22030019760132,54.59980010986328,450.42424869537354,551.5355014801025,237.1429133017858
n_mentions_w4,35.20022916793823,429.7823280096054,250.435781955719,75.82810115814209,268.0284118652344,263.7081799507141,220.4971720178922
r11_w4,57.522489070892334,301.45549976825714,211.7007508277893,84.2058801651001,281.50980615615845,310.1451678276062,207.7565989693006
q4_ratio_1_13,96.00430011749268,293.61346983909607,146.06432819366455,83.92301082611084,236.26133918762207,285.74265003204346,190.2681830326716
n_events_w13,66.03920030593872,388.43440675735474,90.99589014053345,52.772199630737305,258.16488885879517,253.75483179092407,185.02690291404724
goldstein_wsum_w1,118.12180852890015,229.8935204744339,218.5045576095581,82.93847942352295,205.67508220672607,161.25280237197876,169.39770843585333
q4_ab_w4,70.60851049423218,228.75241947174072,177.11186122894287,99.61439990997314,114.20465230941772,256.96967792510986,157.87692022323608
r12_w4,0.0,252.25911939144135,81.67426109313965,160.43739986419678,210.53279066085815,218.24959230422974,153.85886055231094
q3_w4,132.56323099136353,220.39903235435486,139.57590198516846,62.272400856018066,161.4569616317749,202.4772310256958,153.1241264740626
r13_w4,192.91651725769043,140.85442996025085,116.04067993164062,86.77510166168213,152.141619682312,188.0707507133484,146.13318320115408
r17_w4,56.14136028289795,104.68597972393036,124.97246932983398,219.90926837921143,82.04685020446777,254.11977243423462,140.3126167257627
q3_w1,13.941800117492676,142.93146085739136,217.69711017608643,177.07949829101562,102.02716016769409,133.98477125167847,131.27696681022644
r20_share_w4,0.0,41.576939821243286,42.3484001159668,0.0,49.15169906616211,635.8315460681915,128.15143084526062
r15_w4,24.60245943069458,87.53259110450745,160.55306959152222,122.15169906616211,111.56033086776733,193.84691762924194,116.7078446149826
r10_w4,41.49896049499512,229.17789888381958,192.87468194961548,27.015299797058105,92.6924991607666,92.18364810943604,112.57383139928181
n_events_w4,61.591689586639404,178.40935945510864,86.8420090675354,76.31199932098389,45.02969932556152,217.8316888809204,111.0027409394582
q4_w4,163.9163007736206,189.82186102867126,119.67502975463867,71.6155014038086,18.21739959716797,89.61990070343018,108.81099887688954
q4_ba_w4,28.94062042236328,136.07437992095947,132.9296097755432,39.584099769592285,124.78640937805176,170.84942817687988,105.52742457389832
goldstein_sum_w1,51.76581001281738,141.94757091999054,71.01007986068726,56.81381034851074,125.6830186843872,124.68741798400879,95.31795130173366
goldstein_mean_w1,30.236370086669922,148.6166799068451,98.19625997543335,32.0285005569458,52.808730125427246,174.7877197265625,89.44571006298065
regime_daily,0.0,0.0,0.0,0.0,317.0268564224243,213.00431060791016,88.33852783838908
r14_w4,23.256510734558105,107.95310127735138,55.42772102355957,43.73189926147461,154.58919954299927,109.22227954864502,82.36345189809799
r20_w4,0.0,35.29744005203247,62.95199966430664,117.23540115356445,219.2261028289795,38.496291160583496,78.86787247657776
q4_share_w1,24.21232032775879,116.28611993789673,110.9901008605957,57.948699951171875,61.889779567718506,39.89237928390503,68.53656665484111
r18_w4,24.838970184326172,99.30358076095581,15.468940258026123,46.375999450683594,36.2221999168396,132.93460130691528,59.190715312957764
tone_wsum_w1,20.73826026916504,85.54201900959015,16.934670448303223,49.846800804138184,58.06693935394287,97.87894916534424,54.83460650841395
r11_w1,0.0,81.87532985210419,70.1659107208252,25.33489990234375,75.87218189239502,48.87989950180054,50.354703644911446
n_mentions_w1,12.760499954223633,91.68930900096893,53.27190017700195,33.56050109863281,35.2455997467041,31.40046977996826,42.98804662624995
tone_sum_w1,56.80074882507324,43.66124963760376,21.782800674438477,21.37410068511963,69.34575033187866,43.92428016662598,42.81482172012329
r17_w1,0.0,35.38742005825043,6.320250034332275,0.0,115.37477111816406,95.41522121429443,42.08294373750687
n_events_w1,10.070799827575684,77.66672885417938,67.39826965332031,8.50492000579834,43.688899993896484,30.377899169921875,39.61791958411535
r15_w1,0.0,28.760900139808655,0.0,0.0,38.90185022354126,148.01543045043945,35.9463634689649
q1_w1,8.267680168151855,63.70955049991608,21.25208044052124,45.121999740600586,37.152899742126465,32.191569328308105,34.615963319937386
n_root_w1,34.1338996887207,88.61052107810974,25.155189514160156,0.0,36.4266996383667,16.60284996032715,33.48819331328074
r12_w1,0.0,17.58761978149414,69.42118072509766,33.22480010986328,16.223950386047363,40.53566932678223,29.49887005488078
r19_w1,36.554019927978516,32.407989740371704,26.13029956817627,0.0,39.742939472198486,32.85923957824707,27.949081381162006
q2_w1,14.946599960327148,77.81738030910492,16.661349773406982,0.0,0.0,0.0,18.237555007139843
r16_w1,7.4298601150512695,18.643420219421387,33.34794998168945,22.687100410461426,0.0,25.49519920349121,17.933921655019123
r10_w1,5.8302001953125,11.7917799949646,20.65434980392456,16.060100555419922,7.650979995727539,37.04490947723389,16.5053866704305
r18_w1,0.0,15.228599548339844,20.591800689697266,22.926599502563477,0.0,36.83178949356079,15.929798205693563
q4_m_w1,0.0,23.286840200424194,10.540399551391602,0.0,54.0386700630188,5.472430229187012,15.556390007336935
q4_ba_w1,30.006699562072754,27.735049962997437,0.0,0.0,12.193599700927734,6.1625800132751465,12.682988206545511
r13_w1,12.544899940490723,26.142590284347534,0.0,0.0,4.667789936065674,27.947439193725586,11.88378655910492
q4_w1,0.0,2.5615899562835693,6.6775898933410645,0.0,15.199000358581543,45.56376934051514,11.666991591453552
q4_ab_w1,0.0,7.179710149765015,0.0,9.22074031829834,0.0,39.21749973297119,9.26965836683909
r14_w1,0.0,0.0,18.05389976501465,0.0,0.0,0.0,3.008983294169108
r20_w1,0.0,0.0,0.0,0.0,0.0,13.005669593811035,2.167611598968506
