iso3,name,iso_num,region,subregion,lat,lon
THA,Thailand,764,Asia,South-eastern Asia,13.66222784745538,101.08675116214552
TLS,Timor-Leste,626,Asia,South-eastern Asia,-8.809894630601962,125.9502404956266
TGO,Togo,768,Africa,Sub-Saharan Africa,8.660743037717811,0.8990857571109684
TKL,Tokelau,772,Oceania,Polynesia,-9.195174767256544,-171.85265950722743
TON,Tonga,776,Oceania,Polynesia,-21.15927212823853,-175.20415878511247
TTO,Trinidad and Tobago,780,Americas,Latin America and the Caribbean,10.415515638298093,-61.37236579976247
TUN,Tunisia,788,Africa,Northern Africa,34.08636179565723,9.65587551697984
TUR,Turkey,792,Asia,Western Asia,38.93207363123396,35.56886764076691
TKM,Turkmenistan,795,Asia,Central Asia,39.06069118001429,58.4577357627054
TCA,Turks and Caicos Islands,796,Americas,Latin America and the Caribbean,21.799865427483745,-71.74058946811508
TUV,Tuvalu,798,Oceania,Polynesia,-8.514701506447222,179.217833977593
UGA,Uganda,800,Africa,Sub-Saharan Africa,1.2821729218416205,32.34371768463123
UKR,Ukraine,804,Europe,Eastern Europe,48.657532515563794,31.27377208442636
ARE,United Arab Emirates,784,Asia,Western Asia,24.18250292309135,54.27920525789581
GBR,United Kingdom,826,Europe,Northern Europe,53.97844735080214,-2.852943909329258
USA,United States,840,Americas,Northern America,38.8208089190304,-96.3316166082964
UMI,United States Minor Outlying Islands,581,Oceania,Micronesia,19.30204581221596,166.63800339749642
URY,Uruguay,858,Americas,Latin America and the Caribbean,-32.78195043831093,-56.01919523458085
UZB,Uzbekistan,860,Asia,Central Asia,41.4879065244633,63.8548297593985
VUT,Vanuatu,548,Oceania,Melanesia,-15.189132121699332,166.84912735669738
VEN,Venezuela,862,Americas,Latin America and the Caribbean,7.148324760507107,-66.36492135985132
VNM,Vietnam,704,Asia,South-eastern Asia,16.517347170839393,105.91338832758704
VGB,Virgin Islands,092,Americas,Latin America and the Caribbean,18.42195819619707,-64.62406519257699
VIR,Virgin Islands,850,Americas,Latin America and the Caribbean,17.738009708772523,-64.76155341409797
WLF,Wallis and Futuna,876,Oceania,Polynesia,-14.283442307826675,-178.12735555777184
ESH,Western Sahara,732,Africa,Northern Africa,24.5,-13.0
YEM,Yemen,887,Asia,Western Asia,16.001392616307445,47.46815793206386
ZMB,Zambia,894,Africa,Sub-Saharan Africa,-13.162832953186246,27.75521363430896
ZWE,Zimbabwe,716,Africa,Sub-Saharan Africa,-18.92700121981475,29.717829640720844
XKX,Kosovo,-99,Europe,Southern Europe,42.6,20.9
