,fold0,fold1,fold2,fold3,fold4,fold5,mean_gain
goldstein_wsum_w13,1055.0040760040283,703.0599050521851,702.7471990585327,854.7903032302856,31.653799057006836,722.888500213623,678.3572971026102
q2_w1,305.08135890960693,149.97079849243164,903.9091053009033,586.8885021209717,621.4006958007812,1471.6974058151245,673.1579777399699
r10_w13,907.0288858413696,590.2752962112427,722.9019021987915,278.0336027145386,165.57999801635742,1312.566198348999,662.7309805552164
goldstein_sum_w13,506.1103768348694,356.1379976272583,818.1395931243896,638.8521013259888,217.00970268249512,1383.8409023284912,653.3484456539154
goldstein_mean_w4,474.7496290206909,762.0613994598389,764.291467666626,784.0659074783325,420.4469909667969,678.3794937133789,647.3324813842773
r19_w4,637.6156125068665,981.949896812439,837.8699102401733,570.6694068908691,85.28379821777344,695.1629943847656,634.7586031754812
r16_w13,351.25879764556885,348.9981002807617,949.295599937439,813.7571973800659,34.13690185546875,1240.2264957427979,622.9455154736837
r14_w1,0.0,0.0,313.34899711608887,484.8383045196533,1205.670488357544,1526.5233001708984,588.3968483606974
q2_w4,663.7249250411987,426.67480182647705,803.2104024887085,750.5575923919678,292.247802734375,592.7574949264526,588.1955032348633
r11_w4,698.8199939727783,440.4821014404297,531.0690002441406,568.5332870483398,466.4768924713135,820.7359085083008,587.6861972808838
n_events_w13,338.08199882507324,715.2787971496582,463.1594944000244,553.9386978149414,273.179500579834,1093.585597038269,572.8706809679667
r12_share_w4,602.855878829956,512.5433025360107,733.1110506057739,483.0808973312378,0.0,1013.2784996032715,557.478271484375
r18_share_w4,176.0707302093506,240.69949913024902,475.467303276062,686.225998878479,587.0416069030762,1058.6087980270386,537.3523227373759
r14_w13,326.6214790344238,176.42010021209717,641.1485033035278,563.573600769043,249.57839965820312,1241.4541015625,533.1326974232992
tone_sum_w1,118.5585126876831,481.5873079299927,196.91100025177002,735.6627025604248,95.91650009155273,1568.7081966400146,532.8907033602396
regime_daily,0.0,0.0,0.0,0.0,1190.238302230835,2003.9879035949707,532.3710343043009
tone_wsum_w13,638.2559585571289,288.75160121917725,324.4747009277344,249.5808982849121,42.52320098876953,1647.5128917694092,531.8498752911886
q4_mention_share_w4,1827.8114595413208,140.23390007019043,422.4813003540039,251.47329902648926,34.37409973144531,511.29179859161377,531.2776428858439
r15_w1,225.17383861541748,240.3234977722168,649.9893007278442,335.38750076293945,442.1653995513916,1255.7279033660889,524.794573465983
icb_prior_crises,354.856568813324,559.8351964950562,764.4527997970581,484.75300121307373,25.652599334716797,868.2511978149414,509.6335605780284
r12_w13,502.6004991531372,399.8302993774414,543.0790014266968,474.60350036621094,0.0,1008.3965950012207,488.08498255411786
q1_w13,500.7084970474243,381.0014991760254,999.7825994491577,221.13390254974365,34.608001708984375,663.4337968826294,466.77804946899414
tone_wsum_w1,132.9623317718506,147.47440242767334,473.22430324554443,578.8228979110718,206.46260261535645,1157.3144035339355,449.3768235842387
goldstein_delta_1_13,478.2698516845703,263.4489984512329,332.89970207214355,505.8520984649658,388.6913032531738,547.0732021331787,419.3725260098775
r10_share_w4,255.07073307037354,323.42559814453125,322.3702440261841,398.5292043685913,298.90380668640137,905.0917081832886,417.23188241322833
tone_sum_w4,217.46049785614014,117.27149963378906,264.6051721572876,221.33759880065918,232.7375030517578,1345.9532852172852,399.8942594528198
n_root_w1,97.35240077972412,300.5339021682739,476.7918109893799,725.5505933761597,287.9974060058594,471.96660137176514,393.36545244852704
r14_share_w4,287.2557497024536,95.0861988067627,265.6549997329712,153.74269676208496,600.0019950866699,913.7900991439819,385.92195653915405
q4_asym_w4,590.7987079620361,494.29190254211426,725.7073001861572,134.8906011581421,0.0,334.6876974105835,380.0627015431722
r19_w1,181.4952907562256,533.5102005004883,320.09130477905273,318.4985055923462,435.55309677124023,402.8656015396118,365.33566665649414
goldstein_wsum_w1,200.00000381469727,234.9148988723755,374.7284002304077,159.9311008453369,151.47930145263672,1016.078104019165,356.1886348724365
q4_ab_w4,81.12833023071289,125.39159870147705,373.1381998062134,286.6178970336914,125.97570037841797,1064.4929914474487,342.7907862663269
n_root_w4,215.67670059204102,147.21319961547852,284.34229850769043,398.23340225219727,0.0,897.5831022262573,323.8414505322774
q4_ba_w4,267.18320083618164,222.5159034729004,434.5983991622925,268.7520990371704,256.356897354126,402.9142942428589,308.72013235092163
q4_ba_w1,104.0014009475708,146.76980018615723,278.34619903564453,156.11199760437012,377.75949478149414,678.9922981262207,290.3301984469096
goldstein_wsum_w4,235.48620891571045,139.83560180664062,303.46430110931396,145.76150035858154,185.09709930419922,677.9832973480225,281.27133480707806
q4_share_w4,269.48902893066406,314.96999740600586,287.39449882507324,336.0689992904663,78.91310119628906,399.8039960861206,281.1066036224365
goldstein_sum_w1,363.4141631126404,125.87479972839355,300.8861885070801,393.28410053253174,119.43440246582031,383.1987991333008,281.0154089132945
goldstein_sum_w4,286.9051179885864,101.02480030059814,321.6608076095581,184.3904972076416,0.0,675.5101985931396,261.58190361658734
q1_w4,182.64194011688232,173.61540031433105,197.06210041046143,223.99830055236816,29.03700065612793,547.3910999298096,225.62430699666342
r13_w4,201.9029998779297,215.4356050491333,352.14900302886963,202.58330535888672,76.24089813232422,284.64959812164307,222.1602349281311
tone_wsum_w4,270.53940200805664,115.91650104522705,323.50660037994385,161.14039993286133,0.0,458.6585998535156,221.62691720326742
q1_w1,170.67296981811523,98.54689979553223,224.93110179901123,193.97440242767334,205.78489685058594,377.4446020126343,211.89247878392538
r10_w1,12.101400375366211,33.613200187683105,109.7741003036499,254.4865016937256,272.68910217285156,519.5177955627441,200.36368338267008
r20_share_w4,0.0,0.0,47.66969966888428,0.0,0.0,1032.5349016189575,180.0341002146403
r15_w4,116.95769882202148,46.097700119018555,90.97900009155273,410.4249973297119,0.0,377.8536968231201,173.71884886423746
r14_w4,46.57070064544678,0.0,88.96119976043701,106.89799880981445,283.70189666748047,502.356897354126,171.41478220621744
r16_w4,185.32519912719727,91.62260055541992,222.67299461364746,66.44380187988281,33.33209991455078,392.2505006790161,165.2745327949524
r12_w4,296.8292188644409,59.46150016784668,210.5254030227661,78.85470008850098,0.0,287.21720027923584,155.4813370704651
r18_w1,19.17259979248047,0.0,82.08689880371094,231.06109619140625,280.15490341186523,210.56790351867676,137.1739002863566
